Date,stock,,,,,10-year-treasury,,Date,CNY-USD,EUR-USD,GBP-USD,NOK-USD,,financial data,"March 31,2022","June 30,2022"
1/3/22,1199.780029,,,confidence level,,1.628,,1/3/22,0.1573,1.1299,0.7417,0.1127,,,,
1/4/22,1149.589966,-0.041832721,,95%,,1.668,,1/4/22,0.1574,1.1289,0.7392,0.1128,,Current assets,,
1/5/22,1088.119995,-0.053471214,,,,1.705,,1/5/22,0.1571,1.1314,0.7377,0.1129,,Cash and cash equivalents,17505,18324
1/6/22,1064.699951,-0.021523402,,VaR,,1.733,,1/6/22,0.1567,1.13,0.739,0.1124,,Short-term marketable securities,508,591
1/7/22,1026.959961,-0.035446597,,-0.070917289,,1.771,,1/7/22,0.1568,1.1364,0.7357,0.1133,,"Accounts receivable, net",2311,2081
1/10/22,1058.119995,0.030342014,,,,1.78,,1/10/22,0.1568,1.1328,0.7366,0.1128,,Inventory,6691,8108
1/11/22,1064.400024,0.005935082,,volumn on 29th July ,,1.746,,1/11/22,0.1569,1.1371,0.7335,0.114,,Prepaid expenses and other current assets,2035,2118
1/12/22,1106.219971,0.03928969,,"31,771,000",,1.725,,1/12/22,0.1573,1.1443,0.73,0.1155,,Total current assets,29050,31222
1/13/22,1031.560059,-0.067491018,,,,1.711,,1/13/22,0.1572,1.1455,0.7297,0.1147,,Current liabilities,,
1/14/22,1049.609985,0.017497698,,VaR,,1.772,,1/14/22,0.1574,1.1416,0.7312,0.1141,,Accounts payable,11171,11212
1/18/22,1030.51001,-0.018197212,,2008537771,,1.865,,1/17/22,0.1575,1.1408,0.733,0.1145,,Accrued liabilities and other,5906,6037
1/19/22,995.650024,-0.033827897,,,,1.827,,1/18/22,0.1574,1.1328,0.7358,0.1135,,Deferred revenue,1594,1858
1/20/22,996.27002,0.000622705,,,,1.833,,1/19/22,0.1576,1.1344,0.7346,0.1138,,Customer deposits,1125,1182
1/21/22,943.900024,-0.052566066,,,,1.747,,1/20/22,0.1577,1.1311,0.7354,0.1132,,Current portion of debt and finance leases,1659,1532
1/24/22,930,-0.014726161,,,,1.735,,1/21/22,0.1578,1.1346,0.7378,0.1123,,Total current liabilities,21455,21821
1/25/22,918.400024,-0.012473092,,,,1.783,,1/24/22,0.158,1.1326,0.7414,0.1116,,,,
1/26/22,937.409973,0.020698986,,,,1.848,,1/25/22,0.1581,1.1302,0.7407,0.1119,,,,
1/27/22,829.099976,-0.115541759,,,,1.807,,1/26/22,0.1582,1.1241,0.7427,0.1118,,,,
1/28/22,846.349976,0.020805694,,,,1.782,,1/27/22,0.157,1.1146,0.7473,0.1117,,,,
1/31/22,936.719971,0.106776154,,,,1.782,,1/28/22,0.1572,1.1149,0.7461,0.1114,,,,
2/1/22,931.25,-0.005839494,,,,1.8,,1/31/22,0.1572,1.1235,0.7437,0.1124,,source:,,
2/2/22,905.659973,-0.027479224,,,,1.766,,2/1/22,0.1572,1.1273,0.7395,0.1132,,https://www.sec.gov/ix?doc=/Archives/edgar/data/0001318605/000095017022006034/tsla-20220331.htm,,
2/3/22,891.140015,-0.016032461,,,,1.827,,2/2/22,0.1572,1.1306,0.7367,0.1136,,https://www.sec.gov/ix?doc=/Archives/edgar/data/0001318605/000095017022012936/tsla-20220630.htm,,
2/4/22,923.320007,0.036111039,,,,1.93,,2/3/22,0.1572,1.1438,0.7354,0.1149,,https://finance.yahoo.com/quote/TSLA/history?p=TSLA,,
2/7/22,907.340027,-0.017307087,,,,1.916,,2/4/22,0.1572,1.1449,0.7392,0.1137,,https://www.marketwatch.com/,,
2/8/22,922,0.016157088,,,,1.954,,2/7/22,0.1579,1.1443,0.7387,0.1139,,,,
2/9/22,932,0.010845987,,,,1.929,,2/8/22,0.1571,1.1418,0.7384,0.1133,,,,
2/10/22,904.549988,-0.029452803,,,,2.031,,2/9/22,0.1572,1.1426,0.7388,0.1134,,,,
2/11/22,860,-0.049250996,,,,1.955,,2/10/22,0.1574,1.1428,0.7377,0.1135,,,,
2/14/22,875.76001,0.018325593,,,,1.996,,2/11/22,0.1574,1.135,0.7374,0.1128,,,,
2/15/22,922.429993,0.053290836,,,,2.045,,2/14/22,0.1573,1.1307,0.7392,0.1125,,,,
2/16/22,923.390015,0.001040753,,,,2.047,,2/15/22,0.1577,1.136,0.7387,0.1123,,,,
2/17/22,876.349976,-0.050942763,,,,1.972,,2/16/22,0.1578,1.1375,0.7362,0.1126,,,,
2/18/22,856.97998,-0.022103037,,,,1.932,,2/17/22,0.1578,1.1362,0.7345,0.1121,,,,
2/22/22,821.530029,-0.041366137,,,,1.948,,2/18/22,0.1581,1.1322,0.7359,0.1112,,,,
2/23/22,764.039978,-0.069979245,,,,1.977,,2/21/22,0.1578,1.1312,0.7351,0.111,,,,
2/24/22,800.77002,0.048073456,,,,1.969,,2/22/22,0.1581,1.1325,0.7362,0.1124,,,,
2/25/22,809.869995,0.011364031,,,,1.986,,2/23/22,0.1584,1.1306,0.7383,0.1124,,,,
2/28/22,870.429993,0.074777431,,,,1.839,,2/24/22,0.158,1.1195,0.7473,0.1116,,,,
3/1/22,864.369995,-0.006962074,,,,1.707,,2/25/22,0.1583,1.1273,0.7455,0.1132,,,,
3/2/22,879.890015,0.017955297,,,,1.865,,2/28/22,0.1585,1.122,0.7454,0.1135,,,,
3/3/22,839.289978,-0.046142173,,,,1.844,,3/1/22,0.1584,1.1125,0.7505,0.1126,,,,
3/4/22,838.289978,-0.001191483,,,,1.724,,3/2/22,0.1582,1.1121,0.7458,0.113,,,,
3/7/22,804.580017,-0.040212769,,,,1.751,,3/3/22,0.1582,1.1066,0.7491,0.1122,,,,
3/8/22,824.400024,0.024633979,,,,1.872,,3/4/22,0.1583,1.0935,0.7558,0.1118,,,,
3/9/22,858.969971,0.041933462,,,,1.948,,3/7/22,0.1582,1.0856,0.7631,0.1104,,,,
3/10/22,838.299988,-0.024063685,,,,2.011,,3/8/22,0.1583,1.0899,0.7632,0.1112,,,,
3/11/22,795.349976,-0.051234657,,,,2.004,,3/9/22,0.1583,1.1076,0.7587,0.1122,,,,
3/14/22,766.369995,-0.036436766,,,,2.14,,3/10/22,0.1582,1.099,0.764,0.1117,,,,
3/15/22,801.890015,0.046348396,,,,2.16,,3/11/22,0.1577,1.0915,0.767,0.111,,,,
3/16/22,840.22998,0.047812,,,,2.188,,3/14/22,0.1571,1.0942,0.7692,0.1106,,,,
3/17/22,871.599976,0.037335012,,,,2.192,,3/15/22,0.157,1.0957,0.7668,0.111,,,,
3/18/22,905.390015,0.038767829,,,,2.148,,3/16/22,0.1574,1.1035,0.7605,0.1124,,,,
3/21/22,921.159973,0.017417862,,,,2.315,,3/17/22,0.1576,1.1094,0.7606,0.1136,,,,
3/22/22,993.97998,0.079052509,,,,2.373,,3/18/22,0.1572,1.1051,0.7589,0.1144,,,,
3/23/22,999.109985,0.005161075,,,,2.321,,3/21/22,0.1573,1.1017,0.7594,0.1143,,,,
3/24/22,1013.919983,0.014823191,,,,2.341,,3/22/22,0.1571,1.103,0.754,0.1141,,,,
3/25/22,1010.640015,-0.003234938,,,,2.492,,3/23/22,0.1569,1.1006,0.7572,0.1151,,,,
3/28/22,1091.839966,0.080345078,,,,2.477,,3/24/22,0.157,1.0997,0.7583,0.1153,,,,
3/29/22,1099.569946,0.007079774,,,,2.4,,3/25/22,0.1571,1.0982,0.7588,0.1162,,,,
3/30/22,1093.98999,-0.005074671,,,,2.358,,3/28/22,0.1569,1.0988,0.7638,0.1148,,,,
3/31/22,1077.599976,-0.014981868,,,,2.327,,3/29/22,0.1571,1.1088,0.7637,0.1153,,,,
4/1/22,1084.589966,0.006486628,,,,2.377,,3/30/22,0.1575,1.1161,0.7613,0.1166,,,,
4/4/22,1145.449951,0.056113358,,,,2.412,,3/31/22,0.1577,1.1067,0.7611,0.1137,,,,
4/5/22,1091.26001,-0.047308868,,,,2.556,,4/1/22,0.1572,1.1046,0.7626,0.1143,,,,
4/6/22,1045.76001,-0.041694921,,,,2.609,,4/4/22,0.1571,1.0974,0.7625,0.1147,,,,
4/7/22,1057.26001,0.010996787,,,,2.652,,4/5/22,0.1571,1.0905,0.7648,0.1142,,,,
4/8/22,1025.48999,-0.030049392,,,,2.713,,4/6/22,0.1572,1.0897,0.7653,0.1136,,,,
4/11/22,975.929993,-0.048328114,,,,2.78,,4/7/22,0.1572,1.088,0.7649,0.1136,,,,
4/12/22,986.950012,0.011291813,,,,2.725,,4/8/22,0.1571,1.0876,0.767,0.1148,,,,
4/13/22,1022.369995,0.035888325,,,,2.687,,4/11/22,0.157,1.0886,0.7675,0.1134,,,,
4/14/22,985,-0.03655232,,,,2.828,,4/12/22,0.1571,1.0829,0.7691,0.114,,,,
4/18/22,1004.289978,0.019583734,,,,2.862,,4/13/22,0.157,1.0892,0.7624,0.1142,,,,
4/19/22,1028.150024,0.023758124,,,,2.913,,4/14/22,0.1568,1.0831,0.7656,0.1139,,,,
