Date,S&P,sp_return,Tesla,Tesla_return
7/1/21,"4,319.94",,677.919983,
7/2/21,"4,352.34",0.0075,678.900024,0.001445659
7/6/21,"4,343.54",-0.00202,659.580017,-0.028457809
7/7/21,"4,358.13",0.00336,644.650024,-0.022635605
7/8/21,"4,320.82",-0.00856,652.809998,0.012657991
7/9/21,"4,369.55",0.01128,656.950012,0.006341836
7/12/21,"4,384.63",0.00345,685.700012,0.043762843
7/13/21,"4,369.21",-0.00352,668.539978,-0.025025571
7/14/21,"4,374.30",0.00116,653.380005,-0.02267624
7/15/21,"4,360.03",-0.00326,650.599976,-0.004254842
7/16/21,"4,327.16",-0.00754,644.219971,-0.009806341
7/19/21,"4,258.49",-0.01587,646.219971,0.00310453
7/20/21,"4,323.06",0.01516,660.5,0.022097783
7/21/21,"4,358.69",0.00824,655.289978,-0.007887997
7/22/21,"4,367.48",0.00202,649.26001,-0.009201984
7/23/21,"4,411.79",0.01015,643.380005,-0.009056472
7/26/21,"4,422.30",0.00238,657.619995,0.022133094
7/27/21,"4,401.46",-0.00471,644.780029,-0.019524902
7/28/21,"4,400.64",-0.00019,646.97998,0.00341194
7/29/21,"4,419.15",0.00421,677.349976,0.046941168
7/30/21,"4,395.26",-0.00541,687.200012,0.014542019
8/2/21,"4,387.16",-0.00184,709.669983,0.032697862
8/3/21,"4,423.15",0.0082,709.73999,9.86E-05
8/4/21,"4,402.66",-0.00463,710.919983,0.001662571
8/5/21,"4,429.10",0.00601,714.630005,0.005218621
8/6/21,"4,436.52",0.00168,699.099976,-0.021731566
8/9/21,"4,432.35",-0.00094,713.76001,0.020969868
8/10/21,"4,436.75",0.00099,709.98999,-0.005281915
8/11/21,"4,447.70",0.00247,707.820007,-0.003056357
8/12/21,"4,460.83",0.00295,722.25,0.020386529
8/13/21,"4,468.00",0.00161,717.169983,-0.007033599
8/16/21,"4,479.71",0.00262,686.169983,-0.043225457
8/17/21,"4,448.08",-0.00706,665.710022,-0.029817628
8/18/21,"4,400.27",-0.01075,688.98999,0.034970133
8/19/21,"4,405.80",0.00126,673.469971,-0.022525754
8/20/21,"4,441.67",0.00814,680.26001,0.01008217
8/23/21,"4,479.53",0.00852,706.299988,0.038279448
8/24/21,"4,486.23",0.0015,708.48999,0.003100668
8/25/21,"4,496.19",0.00222,711.200012,0.003825067
8/26/21,"4,470.00",-0.00582,701.159973,-0.01411704
8/27/21,"4,509.37",0.00881,711.919983,0.015346013
8/30/21,"4,528.79",0.00431,730.909973,0.026674332
8/31/21,"4,522.68",-0.00135,735.719971,0.006580835
9/1/21,"4,524.09",0.00031,734.090027,-0.002215441
9/2/21,"4,536.95",0.00284,732.390015,-0.002315809
9/3/21,"4,535.43",-0.00034,733.570007,0.001611152
9/7/21,"4,520.03",-0.0034,752.919983,0.026377818
9/8/21,"4,514.07",-0.00132,753.869995,0.00126177
9/9/21,"4,493.28",-0.00461,754.859985,0.001313211
9/10/21,"4,458.58",-0.00772,736.27002,-0.024627037
9/13/21,"4,468.73",0.00228,743,0.009140641
9/14/21,"4,443.05",-0.00575,744.48999,0.00200537
9/15/21,"4,480.70",0.00847,755.830017,0.01523194
9/16/21,"4,473.75",-0.00155,756.98999,0.001534701
9/17/21,"4,432.99",-0.00911,759.48999,0.003302554
9/20/21,"4,357.73",-0.01698,730.169983,-0.038604863
9/21/21,"4,354.19",-0.00081,739.380005,0.012613531
9/22/21,"4,395.64",0.00952,751.940002,0.016987201
9/23/21,"4,448.98",0.01213,753.640015,0.002260836
9/24/21,"4,455.48",0.00146,774.390015,0.027533039
9/27/21,"4,443.11",-0.00278,791.359985,0.021913983
9/28/21,"4,352.63",-0.02036,777.559998,-0.017438318
9/29/21,"4,359.46",0.00157,781.309998,0.004822779
9/30/21,"4,307.54",-0.01191,775.47998,-0.00746185
10/1/21,"4,357.04",0.01149,775.219971,-0.000335288
10/4/21,"4,300.46",-0.01299,781.530029,0.0081397
10/5/21,"4,345.72",0.01052,780.590027,-0.001202771
10/6/21,"4,363.55",0.0041,782.75,0.002767103
10/7/21,"4,399.76",0.0083,793.609985,0.013874142
10/8/21,"4,391.34",-0.00191,785.48999,-0.01023172
10/11/21,"4,361.19",-0.00687,791.940002,0.00821145
10/12/21,"4,350.65",-0.00242,805.719971,0.017400269
10/13/21,"4,363.80",0.00302,811.080017,0.006652492
10/14/21,"4,438.26",0.01706,818.320007,0.008926357
10/15/21,"4,471.37",0.00746,843.030029,0.030196038
10/18/21,"4,486.46",0.00337,870.109985,0.032122172
10/19/21,"4,519.63",0.00739,864.27002,-0.006711755
10/20/21,"4,536.19",0.00366,865.799988,0.001770243
10/21/21,"4,549.78",0.003,894,0.032571047
10/22/21,"4,544.90",-0.00107,909.679993,0.017539142
10/25/21,"4,566.48",0.00475,1024.859985,0.126615945
10/26/21,"4,574.79",0.00182,1018.429993,-0.00627402
10/27/21,"4,551.68",-0.00505,1037.859985,0.019078378
10/28/21,"4,596.42",0.00983,1077.040039,0.037750809
10/29/21,"4,605.38",0.00195,1114,0.034316237
11/1/21,"4,613.67",0.0018,1208.589966,0.084910203
11/2/21,"4,630.65",0.00368,1172,-0.030274921
11/3/21,"4,660.57",0.00646,1213.859985,0.035716711
